name,price,sale_price,brand,ingredients,category,product_url,serving_size,servings_per_container,serving_size_uom
"Super Dry, 11.2 fl oz",10.99,,ASAHI,,"Home\Products\Wine, Beer & Spirits\Beer\Super Dry, 11.2 fl oz",https://www.wholefoodsmarket.com/product/asahi-super-dry-112-fl-oz-b01cd7xe6y,,,
"Original Dry Cider, 12 fl oz",12.99,,Austin Eastcider,"Ingredients: Hard Apple Cider, Filtered Water, Cane Sugar, Brown Sugar, Malic Acid, Sulfites (To Preserve Freshness), Carbon Dioxide","Home\Products\Wine, Beer & Spirits\Beer\Hard Cider\Original Dry Cider, 12 fl oz",https://www.wholefoodsmarket.com/product/austin-eastcider-original-dry-cider-12-fl-oz-b07cybp42s,12,1,fl oz
Wrench Ipa 4pk,15.49,14.49,INDUSTRIAL ARTS BREWING COMPANY,,"Home\Products\Wine, Beer & Spirits\Beer\Pale Ale & IPA\Wrench Ipa 4pk",https://www.wholefoodsmarket.com/product/industrial-arts-brewing-company-wrench-ipa-4pk-b07fzfn4jw,,,
Grapefruit Hibiscus Hard Kombucha 16fz,4.79,,Boochcraft,"Ingredients: Raw Kombucha (Black Tea, Cane Sugar**) *, Grapefruits*, Hibiscus*, Heather*, Dried Ginger*, Yeast*.","Home\Products\Wine, Beer & Spirits\Beer\Hard Kombucha\Grapefruit Hibiscus Hard Kombucha 16fz",https://www.wholefoodsmarket.com/product/boochcraft-grapefruit-hibiscus-hard-kombucha-16fz-b086fb53vd,1,1,can
"Logical Conclusion Ipa, 1 pint",17.99,,THREES BREWING,,"Home\Products\Wine, Beer & Spirits\Beer\Pale Ale & IPA\Logical Conclusion Ipa, 1 pint",https://www.wholefoodsmarket.com/product/threes-brewing-logical-conclusion-ipa-1-pint-b07fx11nxm,,,
"Corona Light, 12 longneck bottles",19.99,,Corona Extra,,"Home\Products\Wine, Beer & Spirits\Beer\Corona Light, 12 longneck bottles",https://www.wholefoodsmarket.com/product/corona-extra-corona-light-12-longneck-bottles-b007c629oa,,,
"Rochefort's Trappistes Rochefort Belgian Ale 10, 11.2 fl oz",8.99,,Rochefort Brewery,,"Home\Products\Wine, Beer & Spirits\Beer\Rochefort's Trappistes Rochefort Belgian Ale 10, 11.2 fl oz",https://www.wholefoodsmarket.com/product/rochefort-brewery-rocheforts-trappistes-rochefort-belgian-ale-10-112-fl-oz-b00144myz0,,,
Apple Jasmine Hard Kombucha 16fz,4.79,,Boochcraft,"Ingredients: Raw Kombucha (Black Tea, Cane Sugar**) *, Apples*, Limes*, Jasmine Green Tea*, Yeast*.","Home\Products\Wine, Beer & Spirits\Beer\Hard Kombucha\Apple Jasmine Hard Kombucha 16fz",https://www.wholefoodsmarket.com/product/boochcraft-apple-jasmine-hard-kombucha-16fz-b086f99wm5,1,1,can
Half Acre Daisy Cutter Pale Ale 4/16C,13.99,,Half Acre Beer,,"Home\Products\Wine, Beer & Spirits\Beer\Pale Ale & IPA\Half Acre Daisy Cutter Pale Ale 4/16C",https://www.wholefoodsmarket.com/product/half-acre-beer-half-acre-daisy-cutter-pale-ale-416c-b07fwflq21,,,
"Juice Bomb, 6 cans",12.49,,SLOOP BREWING CO,,"Home\Products\Wine, Beer & Spirits\Beer\Pale Ale & IPA\Juice Bomb, 6 cans",https://www.wholefoodsmarket.com/product/sloop-brewing-co-juice-bomb-6-cans-b07pv5npb6,,,
"Lager 6pk Cans, 1 pint",7.49,,NARRAGANSETT BREWING,,"Home\Products\Wine, Beer & Spirits\Beer\Lager & Pilsner\Lager 6pk Cans, 1 pint",https://www.wholefoodsmarket.com/product/narragansett-brewing-lager-6pk-cans-1-pint-b007spgl9o,,,
"Duchesse De Bourgogne, 1 pint",12.49,,Brouwerij Verhaeghe,,"Home\Products\Wine, Beer & Spirits\Beer\Sour & Wild Beer\Duchesse De Bourgogne, 1 pint",https://www.wholefoodsmarket.com/product/brouwerij-verhaeghe-duchesse-de-bourgogne-1-pint-b003wgcvyc,,,
Longboard Lager (6-pk),11.49,,Kona Brewing Company,,"Home\Products\Wine, Beer & Spirits\Beer\Lager & Pilsner\Longboard Lager (6-pk)",https://www.wholefoodsmarket.com/product/kona-brewing-company-longboard-lager-6pk-b0016xr53k,,,
"Monkey Tripel 6pk Cans, 12 oz cans",16.49,,Golden,,"Home\Products\Wine, Beer & Spirits\Beer\Pale Ale & IPA\Monkey Tripel 6pk Cans, 12 oz cans",https://www.wholefoodsmarket.com/product/golden-monkey-tripel-6pk-cans-12-oz-cans-b07fxr19g5,,,
"Sour Monkey, 12 oz",16.49,,Victory Brewing Company,,"Home\Products\Wine, Beer & Spirits\Beer\Sour Monkey, 12 oz",https://www.wholefoodsmarket.com/product/victory-brewing-company-sour-monkey-12-oz-b07n3f6r6l,,,
"Negra, 12 fl oz",12.99,,Grupo Modelo,,"Home\Products\Wine, Beer & Spirits\Beer\Lager & Pilsner\Negra, 12 fl oz",https://www.wholefoodsmarket.com/product/grupo-modelo-negra-12-fl-oz-b0016xr55i,,,
"Founders All Day IPA, Single 19.2oz can, 4.7% ABV",1.99,,Founders Brewing Co.,,"Home\Products\Wine, Beer & Spirits\Beer\Other Beer\Founders All Day IPA, Single 19.2oz can, 4.7% ABV",https://www.wholefoodsmarket.com/product/founders-brewing-co-founders-all-day-ipa-single-192oz-can-47-abv-b06xjw1ylm,,,
"Hefeweizen, 500 ml",4.49,,Weihenstephan,,"Home\Products\Wine, Beer & Spirits\Beer\Wheat Beer\Hefeweizen, 500 ml",https://www.wholefoodsmarket.com/product/weihenstephan-hefeweizen-500-ml-b007c64yu2,,,
"Samuel Smith Organic Chocolate Stout, 1 pt",5.99,,Samuel Smith Brewery,,"Home\Products\Wine, Beer & Spirits\Beer\Stout\Samuel Smith Organic Chocolate Stout, 1 pt",https://www.wholefoodsmarket.com/product/samuel-smith-brewery-samuel-smith-organic-chocolate-stout-1-pt-b00a13gj2y,,,
Hard Kombucha Variety Pack 12pk,24.99,,FLYING EMBERS,"Ingredients: Kombucha Culture [Water, Sugar*, Black Tea*, Yeast, Bacteria (Komagataiebacter Spps., Bacillus Coagulans Snz 1969 Probiotic Culture*)], Acerola Juice Powder*, Adaptogen Root Blend (Ginger*, Turmeric*. Ginseng*) Pineapple*†, Chili*†.","Home\Products\Wine, Beer & Spirits\Beer\Hard Kombucha\Hard Kombucha Variety Pack 12pk",https://www.wholefoodsmarket.com/product/flying-embers-hard-kombucha-variety-pack-12pk-b08936qw2v,,,
"Gluten-free India Pale Ale (4-pk), 16 fl oz",13.49,,Glutenberg,"Ingredients: Water, Millet, Buckwheat, Corn, Sugars (Maltodextrin), Hops, Yeast.","Home\Products\Wine, Beer & Spirits\Beer\Pale Ale & IPA\Gluten-free India Pale Ale (4-pk), 16 fl oz",https://www.wholefoodsmarket.com/product/glutenberg-glutenfree-india-pale-ale-4pk-16-fl-oz-b00ywotbdw,1,1,can
Iced Tea Lemonade 16oz,4.99,,JUNESHINE,"Ingredients: Filtered Water, Cane Sugar*, Honey*, Green Tea*, Black Tea*, Lemon Juice*, Lemon Peel*, Yeast, Jun Kombucha Culture","Home\Products\Wine, Beer & Spirits\Iced Tea Lemonade 16oz",https://www.wholefoodsmarket.com/product/juneshine-iced-tea-lemonade-16oz-b08qlz7wby,8,2,oz
"Belgian Golden Ale, 1 pt",15.99,,Duvel,,"Home\Products\Wine, Beer & Spirits\Beer\Ale\Belgian Golden Ale, 1 pt",https://www.wholefoodsmarket.com/product/duvel-belgian-golden-ale-1-pt-b001uh5lre,,,
"Pilsner Vliet, 1 pint",15.49,,THREES BREWING,,"Home\Products\Wine, Beer & Spirits\Beer\Lager & Pilsner\Pilsner Vliet, 1 pint",https://www.wholefoodsmarket.com/product/threes-brewing-pilsner-vliet-1-pint-b07fw7wl5j,,,
"Grapefruit Bitters & Soda 4pk, 48 fl oz",11.49,,Hella Cocktail Co.,"Ingredients: Carbonated Water, Gentian Root Extract, Natural Flavors, Hella Aromatic Bitters (Jamaican Allspice, Black Peppercorns, Caraway, Cinnamon Sticks, Cloves, Rose Hips, Angelica Root, Gentian Root, Chinese Star Anise, Chamomile), Citric Acid, Fruit and Vegetable Juice (Color)","Home\Products\Wine, Beer & Spirits\Grapefruit Bitters & Soda 4pk, 48 fl oz",https://www.wholefoodsmarket.com/product/hella-cocktail-co-grapefruit-bitters-soda-4pk-48-fl-oz-b09jbjb2gk,12,1,fl oz
"Ipa 15pk Cans, 12 fl oz",19.99,,Goose Island,,"Home\Products\Wine, Beer & Spirits\Beer\Pale Ale & IPA\Ipa 15pk Cans, 12 fl oz",https://www.wholefoodsmarket.com/product/goose-island-ipa-15pk-cans-12-fl-oz-b076j58f8t,,,
"Ipa 6pk, 72 fl oz",10.99,,MONTAUK BREWING CO,,"Home\Products\Wine, Beer & Spirits\Beer\Pale Ale & IPA\Ipa 6pk, 72 fl oz",https://www.wholefoodsmarket.com/product/montauk-brewing-co-ipa-6pk-72-fl-oz-b07fz7ykrf,12,,fl oz
"Pale Lager, 19.2 fl oz",2.99,,Stella Artois,,"Home\Products\Wine, Beer & Spirits\Beer\Lager & Pilsner\Pale Lager, 19.2 fl oz",https://www.wholefoodsmarket.com/product/stella-artois-pale-lager-192-fl-oz-b07dfclxnt,,,
"Gluten-free Blonde Ale (4-pk), 16 fl oz",13.49,,Glutenberg,"Ingredients: Water, Millet, Corn, Demerara Sugar, Hops, Yeast.","Home\Products\Wine, Beer & Spirits\Beer\Gluten-free Blonde Ale (4-pk), 16 fl oz",https://www.wholefoodsmarket.com/product/glutenberg-glutenfree-blonde-ale-4pk-16-fl-oz-b07n3dzty7,1,1,can
"SeaQuench Ale Session Sour Beer, 12 fl oz",13.49,,Dogfish Head Brewery,,"Home\Products\Wine, Beer & Spirits\Beer\SeaQuench Ale Session Sour Beer, 12 fl oz",https://www.wholefoodsmarket.com/product/dogfish-head-brewery-seaquench-ale-session-sour-beer-12-fl-oz-b07258sl2v,,,
"Peche Lambic 4pk, 8.45 fl oz",14.99,,Lindemans,,"Home\Products\Wine, Beer & Spirits\Beer\Sour & Wild Beer\Peche Lambic 4pk, 8.45 fl oz",https://www.wholefoodsmarket.com/product/lindemans-peche-lambic-4pk-845-fl-oz-b07fvxkltv,,,
Wild Basin Hard Seltzer Berry Mix Pack 12 Pack 12 oz can,16.49,,Oskar Blues Brewery,,"Home\Products\Wine, Beer & Spirits\Beer\Hard Seltzer\Wild Basin Hard Seltzer Berry Mix Pack 12 Pack 12 oz can",https://www.wholefoodsmarket.com/product/oskar-blues-brewery-wild-basin-hard-seltzer-berry-mix-pack-12-pack-12-oz-can-b083lcskzl,,,
"Raspberry Hard Seltzer, 12 fl oz",11.99,,White Claw,"Ingredients: Purified Carbonated Water, Alcohol, Natural Flavors, Cane Sugar, Citric Acid, Natural Raspberry Juice Concentrate, Sodium Citrate.","Home\Products\Wine, Beer & Spirits\Beer\Hard Seltzer\Raspberry Hard Seltzer, 12 fl oz",https://www.wholefoodsmarket.com/product/white-claw-raspberry-hard-seltzer-12-fl-oz-b07fy9ycq7,1,6,can
"Pineapple Chili Hard Kombucha, 16 fl oz",5.49,,FLYING EMBERS,"Ingredients: Kombucha Culture, (Water, Sugar*, Black Tea*, Bacteria, Yeast), Adaptogen Root Blend (Ginger*, Turmeric*), Pineapple*†, Chili*†, Probiotic Cultture.","Home\Products\Wine, Beer & Spirits\Beer\Hard Kombucha\Pineapple Chili Hard Kombucha, 16 fl oz",https://www.wholefoodsmarket.com/product/flying-embers-pineapple-chili-hard-kombucha-16-fl-oz-b07xcsckn7,12,1.3,oz
Pale Ale 6 Pack (12oz Cans),12.49,,Sierra Nevada,,"Home\Products\Wine, Beer & Spirits\Beer\Pale Ale & IPA\Pale Ale 6 Pack (12oz Cans)",https://www.wholefoodsmarket.com/product/sierra-nevada-pale-ale-6-pack-12oz-cans-b07vj4ndld,,,
"Black Cherry Hard Kombucha, 16 fl oz",5.49,,FLYING EMBERS,"Ingredients: Kombucha Culture, (Water, Sugar*, Black Tea*, Bacteria, Yeast), Adaptogen Root Blend (Ginger*, Turmeric*), Cherry Flavor*, Lime*†, Probiotic Culture^.","Home\Products\Wine, Beer & Spirits\Beer\Hard Kombucha\Black Cherry Hard Kombucha, 16 fl oz",https://www.wholefoodsmarket.com/product/flying-embers-black-cherry-hard-kombucha-16-fl-oz-b0823j41p4,12,1.3,oz
"Just the Haze Non-Alcoholic IPA Beer, Alchohol Free (12 fl. oz. Can, 6pk.)",10.49,,Samuel Adams,,"Home\Products\Wine, Beer & Spirits\Beer\Pale Ale & IPA\Just the Haze Non-Alcoholic IPA Beer, Alchohol Free (12 fl. oz. Can, 6pk.)",https://www.wholefoodsmarket.com/product/samuel-adams-just-the-haze-nonalcoholic-ipa-beer-alchohol-free-12-fl-oz-can-6pk-b08qlgky9v,,,
"Montauk Summer Ale, 12 fl oz",10.99,,MONTAUK BREWING CO,,"Home\Products\Wine, Beer & Spirits\Beer\Montauk Summer Ale, 12 fl oz",https://www.wholefoodsmarket.com/product/montauk-brewing-co-montauk-summer-ale-12-fl-oz-b07fyzxt2m,,,
"Original Fruit Hard Kombucha 6pk Cans, 12 fl oz",15.49,,JIANT HARD KOMBUCHA,"Ingredients: Organic Jun Kombucha (Organic Honey, Organic Dragonwell Green Tea), Purified Water, Organic Cane Sugar, Organic Passion Fruit Juice, Organic Elderflower, Organic Jasmine, Yeast","Home\Products\Wine, Beer & Spirits\Beer\Hard Kombucha\Original Fruit Hard Kombucha 6pk Cans, 12 fl oz",https://www.wholefoodsmarket.com/product/jiant-hard-kombucha-original-fruit-hard-kombucha-6pk-cans-12-fl-oz-b09b4l7b2b,12,1,fl oz
"Farm Flor Rustic Table Cider, 12 oz",11.99,10.99,GRAFT CIDER,Ingredients Ny Apples Unpasteurized 0g Sugar No Sulfites Added,"Home\Products\Wine, Beer & Spirits\Beer\Hard Cider\Farm Flor Rustic Table Cider, 12 oz",https://www.wholefoodsmarket.com/product/graft-cider-farm-flor-rustic-table-cider-12-oz-b07fygrn82,,,
"The Crisp Pilz 6pk Can, 12 fl oz",12.49,,Sixpoint Brewery,,"Home\Products\Wine, Beer & Spirits\Beer\The Crisp Pilz 6pk Can, 12 fl oz",https://www.wholefoodsmarket.com/product/sixpoint-brewery-the-crisp-pilz-6pk-can-12-fl-oz-b00o3oepa0,,,
"Original Lager Beer, Single 24 fl oz Can",3.99,,Heineken,,"Home\Products\Wine, Beer & Spirits\Beer\Original Lager Beer, Single 24 fl oz Can",https://www.wholefoodsmarket.com/product/heineken-original-lager-beer-single-24-fl-oz-can-b0061sw5iu,,,
Neon Rainbows 4pk,13.49,,Ommegang,,"Home\Products\Wine, Beer & Spirits\Beer\Pale Ale & IPA\Neon Rainbows 4pk",https://www.wholefoodsmarket.com/product/ommegang-neon-rainbows-4pk-b085z6c6xx,,,
"Pilsner 6pk Cans, 72 fl oz",10.99,,MONTAUK BREWING CO,,"Home\Products\Wine, Beer & Spirits\Beer\Lager & Pilsner\Pilsner 6pk Cans, 72 fl oz",https://www.wholefoodsmarket.com/product/montauk-brewing-co-pilsner-6pk-cans-72-fl-oz-b07pt66wc4,12,6,fl oz
"Lager 24fz Sgl, 12 fl oz",3.99,,Pacifico Beer,,"Home\Products\Wine, Beer & Spirits\Beer\Lager 24fz Sgl, 12 fl oz",https://www.wholefoodsmarket.com/product/pacifico-beer-lager-24fz-sgl-12-fl-oz-b01h2rlumu,,,
"Lager 12 Pack Can, 144 fl oz",13.49,,NARRAGANSETT BREWING,,"Home\Products\Wine, Beer & Spirits\Beer\Lager 12 Pack Can, 144 fl oz",https://www.wholefoodsmarket.com/product/narragansett-brewing-lager-12-pack-can-144-fl-oz-b07fwdd46f,12,,fl oz
"Athletic Lite Non-Alcoholic, 6 pack of",11.99,,ATHLETIC BREWING CO,"Ingredients: Water, Organic Malt, Organic Rice, Organic Wheat, Hops, Yeast","Home\Products\Wine, Beer & Spirits\Athletic Lite Non-Alcoholic, 6 pack of",https://www.wholefoodsmarket.com/product/athletic-brewing-co-athletic-lite-nonalcoholic-6-pack-of-b09xnym5mv,12,1,fl oz
"Goose IPA (6 pk), 12 fl oz bottles",11.99,,Goose Island,,"Home\Products\Wine, Beer & Spirits\Beer\Pale Ale & IPA\Goose IPA (6 pk), 12 fl oz bottles",https://www.wholefoodsmarket.com/product/goose-island-goose-ipa-6-pk-12-fl-oz-bottles-b01lx1ngaj,,,
IPA 6pk,12.49,,,,"Home\Products\Wine, Beer & Spirits\Beer\Pale Ale & IPA\IPA 6pk",https://www.wholefoodsmarket.com/product/ipa-6pk-b00clz5v1k,,,
June Shine Prickly Pear Margarita 16oz,4.99,,JUNESHINE,,"Home\Products\Wine, Beer & Spirits\Beer\Hard Kombucha\June Shine Prickly Pear Margarita 16oz",https://www.wholefoodsmarket.com/product/juneshine-june-shine-prickly-pear-margarita-16oz-b084tqpk53,,,
"Sorghum Beer, 12 fl oz bottles",10.99,,Redbridge,"Ingredients: Water, Fermented Sorghum (Sorghum, Corn Syrup), Hops, Yeast.","Home\Products\Wine, Beer & Spirits\Beer\Sorghum Beer, 12 fl oz bottles",https://www.wholefoodsmarket.com/product/redbridge-sorghum-beer-12-fl-oz-bottles-b005isybww,1,1,bottle
Higher Volume 15pk Can,18.99,,Sixpoint Brewery,,"Home\Products\Wine, Beer & Spirits\Beer\Lager & Pilsner\Higher Volume 15pk Can",https://www.wholefoodsmarket.com/product/sixpoint-brewery-higher-volume-15pk-can-b0887lwt1w,,,
"Lager Beer, 6 Pack, 11.2 fl oz Bottles",8.79,,Red Stripe,,"Home\Products\Wine, Beer & Spirits\Beer\Lager & Pilsner\Lager Beer, 6 Pack, 11.2 fl oz Bottles",https://www.wholefoodsmarket.com/product/red-stripe-lager-beer-6-pack-112-fl-oz-bottles-b06y1hl18w,,,
"Gose Cider 4pk Can, 48 oz",11.99,10.99,GRAFT CIDER,Ingredients Ny Hard Cider,"Home\Products\Wine, Beer & Spirits\Beer\Gose Cider 4pk Can, 48 oz",https://www.wholefoodsmarket.com/product/graft-cider-gose-cider-4pk-can-48-oz-b07zr2xx4c,12,1,oz
"Brooklyn Lager 6pk Bottles, 12 oz",10.49,,Brooklyn Brewery,,"Home\Products\Wine, Beer & Spirits\Beer\Brooklyn Lager 6pk Bottles, 12 oz",https://www.wholefoodsmarket.com/product/brooklyn-brewery-brooklyn-lager-6pk-bottles-12-oz-b005isy4di,,,
Ultra Pure Gold Lager 12pk Cans,16.99,,Michelob,,"Home\Products\Wine, Beer & Spirits\Beer\Lager & Pilsner\Ultra Pure Gold Lager 12pk Cans",https://www.wholefoodsmarket.com/product/michelob-ultra-pure-gold-lager-12pk-cans-b07pmqg3f1,12,1,fl oz
"Cider Variety Pack, 12 oz cans",18.99,,Austin Eastcider,"Original Dry Cider Ingredients: Hard Apple Cider, Filtered Water, Cane Sugar, Brown Sugar, Malic Acid, Sulfites (To Preserve Freshness), Carbon Dioxide","Home\Products\Wine, Beer & Spirits\Cider Variety Pack, 12 oz cans",https://www.wholefoodsmarket.com/product/austin-eastcider-cider-variety-pack-12-oz-cans-b07n3fpgw1,12,1,fl oz
"Seasonal Cider 4pk, 12 fl oz",8.49,7.49,DOWNEAST CIDER HOUSE,"Ingredients: Freshly Pressed Apple Cider, Grapefruit Juice, Citric Acid, Sulfites To Preserve Flavor","Home\Products\Wine, Beer & Spirits\Beer\Hard Cider\Seasonal Cider 4pk, 12 fl oz",https://www.wholefoodsmarket.com/product/downeast-cider-house-seasonal-cider-4pk-12-fl-oz-b07fz51wt6,,,
Kick Back 15pk Can,19.99,,Victory Brewing Company,,"Home\Products\Wine, Beer & Spirits\Beer\Pale Ale & IPA\Kick Back 15pk Can",https://www.wholefoodsmarket.com/product/victory-brewing-company-kick-back-15pk-can-b07fxqzq7t,,,
"Citra Hop Ipa 4pk Cans, 16 fl oz",9.99,,ZERO GRAVITY CRAFT BREWERY,,"Home\Products\Wine, Beer & Spirits\Beer\Pale Ale & IPA\Citra Hop Ipa 4pk Cans, 16 fl oz",https://www.wholefoodsmarket.com/product/zero-gravity-craft-brewery-citra-hop-ipa-4pk-cans-16-fl-oz-b07rsr6b4d,,,
Tank 7 Ale 6pk,17.99,,Boulevard Brewing,,"Home\Products\Wine, Beer & Spirits\Beer\Pale Ale & IPA\Tank 7 Ale 6pk",https://www.wholefoodsmarket.com/product/boulevard-brewing-tank-7-ale-6pk-b076jgjqf6,,,
"Belgian Delirium Tremens Single, 1 pt",5.99,,Brouwerij Huyghe,,"Home\Products\Wine, Beer & Spirits\Beer\Ale\Belgian Delirium Tremens Single, 1 pt",https://www.wholefoodsmarket.com/product/brouwerij-huyghe-belgian-delirium-tremens-single-1-pt-b07bbqkw3v,,,
"Now Youse Can't Leave Double Ipa, 1 pint",14.99,,BRONX BREWERY,,"Home\Products\Wine, Beer & Spirits\Beer\Pale Ale & IPA\Now Youse Can't Leave Double Ipa, 1 pint",https://www.wholefoodsmarket.com/product/bronx-brewery-now-youse-cant-leave-double-ipa-1-pint-b07pt5rk8r,,,
"German Lager 4pk Cans, 16.9 fl oz",8.79,,PAULANER,,"Home\Products\Wine, Beer & Spirits\Beer\German Lager 4pk Cans, 16.9 fl oz",https://www.wholefoodsmarket.com/product/paulaner-german-lager-4pk-cans-169-fl-oz-b07rfltkxp,,,
"Lemon Hard Tea 6pk Cans, 11.5 fl oz",12.99,,LOVERBOY,"Ingredients: Organic Brewed Tea (Water, Organic Black Tea), Alcohol, Natural Flavors, Lemon Juice Concentrate, Monk Fruit Concentrate, Citric Acid","Home\Products\Wine, Beer & Spirits\Spirits\Coolers & Cocktails\Lemon Hard Tea 6pk Cans, 11.5 fl oz",https://www.wholefoodsmarket.com/product/loverboy-lemon-hard-tea-6pk-cans-115-fl-oz-b07vwdzqz2,1,6,can
Ginger Lime Hard Kombucha 16fz Can Sgl,4.79,,Boochcraft,Made With Fresh Pressed Raw Kombucha* Ginger* Limes* Rosehips* Yeast*,"Home\Products\Wine, Beer & Spirits\Beer\Hard Kombucha\Ginger Lime Hard Kombucha 16fz Can Sgl",https://www.wholefoodsmarket.com/product/boochcraft-ginger-lime-hard-kombucha-16fz-can-sgl-b08gr64mtn,,,
American Ipa 19.2fz Can,2.99,,Bell's Brewery,,"Home\Products\Wine, Beer & Spirits\Beer\Pale Ale & IPA\American Ipa 19.2fz Can",https://www.wholefoodsmarket.com/product/bells-brewery-american-ipa-192fz-can-b07syzx7yn,,,
"Bengali 6pk Can, 12 fl oz",12.49,,Sixpoint Brewery,,"Home\Products\Wine, Beer & Spirits\Beer\Pale Ale & IPA\Bengali 6pk Can, 12 fl oz",https://www.wholefoodsmarket.com/product/sixpoint-brewery-bengali-6pk-can-12-fl-oz-b076565ytz,,,
Big Little Thing Imperial IPA 12oz Can,3.29,,Sierra Nevada,,"Home\Products\Wine, Beer & Spirits\Beer\Pale Ale & IPA\Big Little Thing Imperial IPA 12oz Can",https://www.wholefoodsmarket.com/product/sierra-nevada-big-little-thing-imperial-ipa-12oz-can-b08qm55zvq,,,
"Ginger Hard Kombucha, 16 fl oz",5.49,,FLYING EMBERS,"Ingredients: Kombucha Culture [Water, Sugar*, Black Tea*, Yeast*, Bacteria (Komagataiebacter Spps., Bacillus Coagulans Snz 1969 Probiotic Culture)], Acerola Juice Powder*, Adaptogen Root Blend (Ginger*, Turmeric*, Ginseng*).","Home\Products\Wine, Beer & Spirits\Beer\Hard Kombucha\Ginger Hard Kombucha, 16 fl oz",https://www.wholefoodsmarket.com/product/flying-embers-ginger-hard-kombucha-16-fl-oz-b07t359ckf,12,1.3,oz
Cigar City Florida Man Double IPA 6 Pack 12 oz can,12.99,,Cigar City Brewing,,"Home\Products\Wine, Beer & Spirits\Beer\Pale Ale & IPA\Cigar City Florida Man Double IPA 6 Pack 12 oz can",https://www.wholefoodsmarket.com/product/cigar-city-brewing-cigar-city-florida-man-double-ipa-6-pack-12-oz-can-b083bpr5kj,,,
"Brooklyn Oktoberfest, 12 fl oz",10.49,,Brooklyn Brewery,,"Home\Products\Wine, Beer & Spirits\Beer\Brooklyn Oktoberfest, 12 fl oz",https://www.wholefoodsmarket.com/product/brooklyn-brewery-brooklyn-oktoberfest-12-fl-oz-b00b2vqp8w,,,
Stone IPA 6pk 12oz Can,10.99,9.99,Stone Brewing,,"Home\Products\Wine, Beer & Spirits\Beer\Pale Ale & IPA\Stone IPA 6pk 12oz Can",https://www.wholefoodsmarket.com/product/stone-brewing-stone-ipa-6pk-12oz-can-b07ps4k46h,,,
"St. Bernardus Abt 12, 11.2 fl oz",22.99,,St Bernardus,,"Home\Products\Wine, Beer & Spirits\Beer\Ale\St. Bernardus Abt 12, 11.2 fl oz",https://www.wholefoodsmarket.com/product/st-bernardus-st-bernardus-abt-12-112-fl-oz-b005z6ulo4,,,
Ipa 16fz 4pk Cans,16.49,,FINBACK BREWERY,,"Home\Products\Wine, Beer & Spirits\Beer\Pale Ale & IPA\Ipa 16fz 4pk Cans",https://www.wholefoodsmarket.com/product/finback-brewery-ipa-16fz-4pk-cans-b07pt7g86n,,,
"German Wheat 4pk Cans, 16.9 fl oz",9.49,,PAULANER,,"Home\Products\Wine, Beer & Spirits\Beer\Wheat Beer\German Wheat 4pk Cans, 16.9 fl oz",https://www.wholefoodsmarket.com/product/paulaner-german-wheat-4pk-cans-169-fl-oz-b07rhpk6t5,,,
"Cinq Cents Ale, 1 pt",13.99,,Chimay,,"Home\Products\Wine, Beer & Spirits\Beer\Ale\Cinq Cents Ale, 1 pt",https://www.wholefoodsmarket.com/product/chimay-cinq-cents-ale-1-pt-b002tai17s,,,
"Broken Skull Ipa 4pk Cans, 1 pint",15.99,,EL SEGUNDO BREWING,,"Home\Products\Wine, Beer & Spirits\Beer\Pale Ale & IPA\Broken Skull Ipa 4pk Cans, 1 pint",https://www.wholefoodsmarket.com/product/el-segundo-brewing-broken-skull-ipa-4pk-cans-1-pint-b07xfp118z,,,
"Oktoberfest 6pk, 11.2 fluid ounce",13.49,,Weihenstephaner Festbier,,"Home\Products\Wine, Beer & Spirits\Beer\Oktoberfest 6pk, 11.2 fluid ounce",https://www.wholefoodsmarket.com/product/weihenstephaner-festbier-oktoberfest-6pk-112-fluid-ounce-b009m6gkgq,,,
Double Ipa 16fz 4pk Cans,17.99,,BEER'D BREWING CO,,"Home\Products\Wine, Beer & Spirits\Beer\Pale Ale & IPA\Double Ipa 16fz 4pk Cans",https://www.wholefoodsmarket.com/product/beerd-brewing-co-double-ipa-16fz-4pk-cans-b07pqxw4nb,,,
"Pumpkin Ale 6pk Cans, 12 fl oz",10.99,,MONTAUK BREWING CO,,"Home\Products\Wine, Beer & Spirits\Beer\Pumpkin Ale 6pk Cans, 12 fl oz",https://www.wholefoodsmarket.com/product/montauk-brewing-co-pumpkin-ale-6pk-cans-12-fl-oz-b07fz7y9z9,,,
"Ipa 4pk Cans, 16 fl oz",15.99,,ZERO GRAVITY CRAFT BREWERY,,"Home\Products\Wine, Beer & Spirits\Beer\Pale Ale & IPA\Ipa 4pk Cans, 16 fl oz",https://www.wholefoodsmarket.com/product/zero-gravity-craft-brewery-ipa-4pk-cans-16-fl-oz-b07fyzvvp4,,,
1664,8.99,,KRONENBOURG,,"Home\Products\Wine, Beer & Spirits\Beer\1664",https://www.wholefoodsmarket.com/product/kronenbourg-1664-b07pqy6f83,,,
"Strawberry Lambic 4pk, 8.5 fl oz",14.99,,Lindemans,,"Home\Products\Wine, Beer & Spirits\Beer\Sour & Wild Beer\Strawberry Lambic 4pk, 8.5 fl oz",https://www.wholefoodsmarket.com/product/lindemans-strawberry-lambic-4pk-85-fl-oz-b07fw5brt7,,,
