category,brand,name,price,price_per_size,size,popularity_rank,out_of_item,item_url
"Beer, Domestic",Budweiser,"Budweiser Lager, Cans",$22.49/ea,$1.67/pt,"18ct, 12fl oz ea",5,,https://www.freshdirect.com/supergro/beer/sc/beer_domestic/p/beer_bud_eightncan
"Beer, Domestic",Coors,"Coors Light Lager, Cans",$24.99/ea,$1.85/pt,"18ct, 12fl oz ea",4,,https://www.freshdirect.com/supergro/beer/sc/beer_domestic/p/beer_coors_light_eightncan
"Beer, Domestic",Miller,"Miller Lite Lager, Cans",$26.99/ea,$2.00/pt,"18ct, 12fl oz ea",3,,https://www.freshdirect.com/supergro/beer/sc/beer_domestic/p/gro_pid_4012729
"Beer, Domestic",Narragansett,"Narragansett Lager, Cans",$9.99/ea,$1.67/pt,"6ct, 16fl oz ea",2,,https://www.freshdirect.com/supergro/beer/sc/beer_domestic/p/gro_pid_4010421
"Beer, Domestic",Bud Light,"Bud Light Lager, Cans",$22.49/ea,$1.67/pt,"18ct, 12fl oz ea",1,,https://www.freshdirect.com/supergro/beer/sc/beer_domestic/p/beer_bud_light_eightncan
"Beer, Craft",Bell,"Bell's Amber Ale, Glass Bottles",,,,,yes,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4008974
"Beer, Craft",Dogfish Head,"Dogfish Head 90 Minute Imperial IPA, Glass Bottles",,,,,yes,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/spe_dgfsh_90mnipa
"Beer, Craft",Sixpoint Brewery,"Sixpoint Brewery Wintry Fix Winter Lager, Cans",$11.99/ea,$2.66/pt,"6ct, 12fl oz ea",128,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4019931
"Beer, Craft",Fiddlehead Brewing,"Fiddlehead Brewing Hazy IPA, Cans",$14.99/ea,$3.33/pt,"6ct, 12fl oz ea",127,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4020003
"Beer, Craft",Goose Island,"Goose Island 312 Urban Wheat Ale, Glass Bottles",$53.16/cs,$2.95/pt,"24ct, 12fl oz ea",126,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4201462
"Beer, Craft",Peak Organic,"Peak Organic IPA, Glass Bottles",$53.16/cs,$2.95/pt,"24ct, 12fl oz ea",125,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4201503
"Beer, Craft",EBBS Brewing Co.,"EBBS Brewing Co. Kolsch No. 2, Cans",$14.99/ea,$3.33/pt,"6ct, 12fl oz ea",124,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4019912
"Beer, Craft",Bronx Brewery,"Bronx Brewery American Pale Ale, Cans",$60.76/cs,$3.38/pt,"24ct, 12fl oz ea",123,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4201358
"Beer, Craft",Allagash,"Allagash White Beer, Cans",$14.99/ea,$3.33/pt,"6ct, 12fl oz ea",122,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4019934
"Beer, Craft",EBBS Brewing Co.,"EBBS Brewing Co. Lager No. 1, Cans",$14.99/ea,$3.33/pt,"6ct, 12fl oz ea",121,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4019911
"Beer, Craft",Industrial Arts Brewing Company,"Industrial Arts Brewing Company Metric Pils, Cans",$16.99/ea,$4.25/pt,"4ct, 16fl oz ea",120,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4019358
"Beer, Craft",Victory Brewing Co.,"Victory Brewing Co. Berry Monkey Fruited Sour Tripel, Glass Bottles",$16.99/ea,$3.78/pt,"6ct, 12fl oz ea",119,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4018261
"Beer, Craft",Sixpoint Brewery,"Sixpoint Brewery Sweet Action Pale Ale, Cans",$45.56/cs,$2.53/pt,"24ct, 12fl oz ea",118,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4201511
"Beer, Craft",Dogfish Head,"Dogfish Head 60 Minute IPA, Glass Bottles",$53.16/cs,$2.95/pt,"24ct, 12fl oz ea",117,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4201492
"Beer, Craft",Harpoon,"Harpoon India Pale Ale, Glass Bottles",$45.56/cs,$2.53/pt,"24ct, 12fl oz ea",116,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/spe_hrpn_zcs_1
"Beer, Craft",New Belgium Brewing,"New Belgium Brewing Voodoo Ranger IPA, Cans",$12.99/ea,$2.89/pt,"6ct, 12fl oz ea",115,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4019398
"Beer, Craft",Lawson's,"Lawson's Hazy Rays IPA, Cans",$17.99/ea,$4.50/pt,"4ct, 16fl oz ea",114,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4019359
"Beer, Craft",Lagunitas,"Lagunitas Maximus Colossal Double IPA, Cans",$24.99/ea,$2.78/pt,"12ct, 12fl oz ea",113,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4019186
"Beer, Craft",Magic Hat,"Magic Hat Number 9 Pale Ale, Glass Bottles",$49.36/cs,$2.74/pt,"24ct, 12fl oz ea",112,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/spe_mgcht_zcs_2
"Beer, Craft",Brooklyn Brewery,"Brooklyn Brewery Pulp Art Imperial IPA, Cans",$12.99/ea,$2.89/pt,"6ct, 12fl oz ea",111,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4019252
"Beer, Craft",Bronx Brewery,"Bronx Brewery City Island Sour IPA, Cans",$16.99/ea,$4.25/pt,"4ct, 16fl oz ea",110,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4016065
"Beer, Craft",New Belgium Brewing,"New Belgium Brewing Fat Tire Ale, Glass Bottles",$53.16/cs,$2.95/pt,"24ct, 12fl oz ea",109,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4201500
"Beer, Craft",Shiner,"Shiner Bock Beer, Glass Bottles",$49.36/cs,$2.74/pt,"24ct, 12fl oz ea",108,,https://www.freshdirect.com/supergro/beer/sc/beer_craft/p/gro_pid_4201365
